ID_rest;Rest_name;Cuisine;Price;Tags;Adress
/msk/restaurant/259352/;Хлеб насущный;Пекарни;700–1500 рублей;Сэндвичи,Вегетарианское меню,Европейская кухня,Кафе,Пекарни;Москва, Мичуринский просп., 5
/msk/restaurant/259353/;Хинкальная на Старом Арбате;Грузинская кухня;700–1500 рублей;Грузинская кухня,Хинкали,Хачапури,Кальяны,Европейская кухня,Кафе;Москва, Арбат, 21
/msk/restaurant/259354/;Хинкальная на Краснобогатырской;Грузинская кухня;700–1500 рублей;Грузинская кухня,Хинкали,Хачапури,Кальяны,Европейская кухня,Кафе;Москва, Краснобогатырская, 72
/msk/restaurant/259356/;Чебуречная СССР;Чебуреки;До 700 рублей;Русская кухня,Пельмени,Чебуреки,Кафе;Москва, Сретенка, 21/28, стр. 1
/msk/restaurant/259357/;Чебуречная СССР;Чебуреки;До 700 рублей;Русская кухня,Пельмени,Чебуреки,Кафе;Москва, Волоколамское ш., 15/22
/msk/restaurant/259360/;СПБ;Бары;700–1500 рублей;Пицца,Европейская кухня,Бары,Пивные рестораны,Спортбары,Коктейльная карта;Москва, Сущевская, 19, стр. 5
/msk/restaurant/259361/;Funky Monkey;Пицца;До 700 рублей;Итальянская кухня,Пицца,Европейская кухня,Кафе,Фастфуд;Москва, москва, Ниж.Красносельская, 39
/msk/restaurant/259362/;Мясо & Паста;Гастропабы;700–1500 рублей;Грузинская кухня,Итальянская кухня,Пицца,Паста,Стейки,Европейская кухня,Бары,Гастропабы,Винотеки;Москва, 1-я Брестская, 43
/msk/restaurant/259363/;Al ponte;Кафе;700–1500 рублей;Итальянская кухня,Пицца,Паста,Кафе,Бары;Химки, Набережный пр., 1, корп. 1 ?
/msk/restaurant/259364/;Burger Story;Бургеры;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Кафе,Бары;Москва, Новослободская, 14/19, стр. 1
/msk/restaurant/259365/;Piteria;Стритфуд;До 700 рублей;Арабская кухня,Греческая кухня,Кафе,Бары,Фастфуд,Стритфуд;Москва, Ладожская, 4/6, стр. 4
/msk/restaurant/259366/;Food Can London;Кафе;До 700 рублей;Русская кухня,Японская кухня,Суши,Европейская кухня,Кафе;Москва, Бауманская, 7
/msk/restaurant/259367/;Village House;Бургеры;До 700 рублей;Американская кухня,Бургеры,Кафе,Бары,Фастфуд;Москва, Щукинская, 42, ТРК «Щука»
/msk/restaurant/259368/;Village House;Бургеры;До 700 рублей;Американская кухня,Бургеры,Кафе,Бары,Фастфуд;Ступино, просп. Победы, 63а, ТЦ «Курс»
/msk/restaurant/259369/;Village House;Бургеры;До 700 рублей;Американская кухня,Бургеры,Кафе,Бары,Фастфуд;Ступино, Пристанционная, 1
/msk/restaurant/259371/;Colton;Кафе;700–1500 рублей;Японская кухня,Суши,Европейская кухня,Кафе;Москва, Люсиновская, 7/8, стр. 1
/msk/restaurant/259372/;Пшеница;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе;Москва, Каланчевская, 13
/msk/restaurant/259373/;Пшеница;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе;Москва, Стромынка, 16
/msk/restaurant/259374/;Глазурит;Кафе;До 700 рублей;Русская кухня,Кафе;Москва, 1-й Котляковский пер., 3
/msk/restaurant/259375/;Yumbaker;Кондитерские;До 700 рублей;Кафе,Кофейни,Кондитерские;Москва, 2-я Звенигородская, 12, стр. 70
/msk/restaurant/259376/;Rioba;Кофейни;До 700 рублей;Кафе,Кофейни;Москва, Шоссейная, 2б
/msk/restaurant/259377/;Rioba;Кофейни;До 700 рублей;Кафе,Кофейни;Москва, Дорожная, 1, корп. 1
/msk/restaurant/259378/;Rioba;Кофейни;До 700 рублей;Кафе,Кофейни;Москва, Маршала Прошлякова, 14
/msk/restaurant/259379/;Rioba;Кофейни;До 700 рублей;Кафе,Кофейни;Москва, 1-я Дубровская, 13а, стр. 3
/msk/restaurant/259380/;Rioba;Кофейни;До 700 рублей;Кафе,Кофейни;Балашиха, Советская, 60
/msk/restaurant/259381/;Пломбир;Кондитерские;До 700 рублей;Кафе,Кондитерские;Москва, Театральный пр., 5, Центральный детский магазин, 6 этаж
/msk/restaurant/259383/;Papa Gyros;Кафе;До 700 рублей;Греческая кухня,Европейская кухня,Кафе,Кофейни,Фастфуд;Москва, 24-й км МКАД, пересечение с Каширским ш., ТРЦ Vegas
/msk/restaurant/259384/;Бэйкерс;Пицца;До 700 рублей;Итальянская кухня,Пицца,Кафе,Фастфуд;Москва, Строгинский б-р, 7, корп. 1
/msk/restaurant/259385/;Rock Squirrel Coffee;Кофейни;До 700 рублей;Кафе,Кофейни;Москва, Строительный пр., 7а, корп. 7
/msk/restaurant/259386/;Цукини;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе;Москва, Сельскохозяйственная, 17, корп. 1, гостиница «Турист»
/msk/restaurant/259387/;Paparino;Итальянская кухня;До 700 рублей;Итальянская кухня,Японская кухня,Пицца,Паста,Суши,Европейская кухня,Бары;Москва, Сельскохозяйственная, 17, корп. 1, гостиница «Турист»
/msk/restaurant/259388/;Три самурая;Японская кухня;До 700 рублей;Американская кухня,Итальянская кухня,Японская кухня,Бургеры,Пицца,Суши,Вегетарианское меню;Москва, Старая Купавна, Кирова, 1
/msk/restaurant/259389/;Гриль-хаус;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Бары,Фастфуд;Одинцово, Говорова, 163, ТЦ «Атлас»
/msk/restaurant/259390/;Гриль-хаус;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Бары,Фастфуд;Москва, ш. Энтузиастов, 31
/msk/restaurant/259391/;Гриль-хаус;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Бары,Фастфуд;Москва, Кировоградская, 14, ТЦ «Глобал-сити»
/msk/restaurant/259392/;Гриль-хаус;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Бары,Фастфуд;Москва, просп. Вернадского, 86а, ТРЦ Avenue South West
/msk/restaurant/259393/;Гриль-хаус;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Стейки,Европейская кухня,Бары,Фастфуд;Москва, Варшавское ш., 87б, ТДЦ «Варшавский»
/msk/restaurant/259394/;Бережок;Суши;До 700 рублей;Японская кухня,Суши,Кафе;Ивантеевка, Центральный пр., 7
/msk/restaurant/259396/;French Bistro;Кафе;До 700 рублей;Европейская кухня,Кафе;Москва, Столярный пер., 3, стр. 5
/msk/restaurant/259397/;Gastrovkus;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе,Столовые;Москва, Кантемировская, 58
/msk/restaurant/259398/;Gastrovkus;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе,Столовые;Москва, 1-й Тверской-Ямской пер., 18
/msk/restaurant/259399/;Gastrovkus;Кафе;До 700 рублей;Русская кухня,Европейская кухня,Кафе,Столовые;Москва, Дмитровское ш., 100
/msk/restaurant/259400/;Праздник вкуса;0;0;0;
/msk/restaurant/259401/;Jolly Cups;Кофейни;До 700 рублей;Кафе,Кофейни,Кондитерские;Москва, Бутырская, 46
/msk/restaurant/259402/;Фермер;Кафе;До 700 рублей;Кафе;Москва, Гостиничный пр., 4б
