ID_Rest;ID_Afisha_user
http://www.afisha.ru/msk/restaurant/38799/;www.afisha.ru/personalpage/2870130
http://www.afisha.ru/msk/restaurant/38799/;www.afisha.ru/personalpage/2837983
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2967879
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2867159
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2838020
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/1997554
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2798703
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2777283
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/348637
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2672353
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/1251898
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2397267
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2593965
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/155605
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2484136
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2468376
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2451255
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/1706159
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/2359735
http://www.afisha.ru/msk/restaurant/36208/;www.afisha.ru/personalpage/241658
http://www.afisha.ru/msk/restaurant/28264/;www.afisha.ru/personalpage/2497784
http://www.afisha.ru/msk/restaurant/28264/;www.afisha.ru/personalpage/1237081
http://www.afisha.ru/msk/restaurant/28264/;www.afisha.ru/personalpage/1741841
http://www.afisha.ru/msk/restaurant/47489/;www.afisha.ru/personalpage/2307298
http://www.afisha.ru/msk/restaurant/47489/;www.afisha.ru/personalpage/2994700
http://www.afisha.ru/msk/restaurant/77008/;nan
http://www.afisha.ru/msk/restaurant/46265/;www.afisha.ru/personalpage/2883904
http://www.afisha.ru/msk/restaurant/46265/;www.afisha.ru/personalpage/2827207
http://www.afisha.ru/msk/restaurant/30165/;www.afisha.ru/personalpage/2765176
http://www.afisha.ru/msk/restaurant/88040/;www.afisha.ru/personalpage/2650597
http://www.afisha.ru/msk/restaurant/88040/;www.afisha.ru/personalpage/2981526
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/2133039
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/3044178
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/2941601
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/2885192
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/2867217
http://www.afisha.ru/msk/restaurant/21664/;www.afisha.ru/personalpage/2859031
