ID_Afisha_user;ID_SN
www.afisha.ru/personalpage/1659196;http://facebook.com/752634614858413
www.afisha.ru/personalpage/2256083;http://facebook.com/1046699835381486
www.afisha.ru/personalpage/413678;http://facebook.com/100000581197187
www.afisha.ru/personalpage/702338;http://facebook.com/100001093116326
www.afisha.ru/personalpage/597701;http://facebook.com/806561512754627
www.afisha.ru/personalpage/94937;http://facebook.com/487686371414194
www.afisha.ru/personalpage/2204810;http://facebook.com/100000009604628
www.afisha.ru/personalpage/1231536;http://facebook.com/100001868998012
www.afisha.ru/personalpage/1343467;http://facebook.com/100000920400165
www.afisha.ru/personalpage/386009;http://facebook.com/868809669816883
www.afisha.ru/personalpage/3014403;http://facebook.com/1220449291358639
www.afisha.ru/personalpage/1947819;http://facebook.com/946034415462030
www.afisha.ru/personalpage/2863857;http://facebook.com/10154186339010692
www.afisha.ru/personalpage/2845032;http://facebook.com/1304585412889364
www.afisha.ru/personalpage/2361358;http://facebook.com/100001368608550
www.afisha.ru/personalpage/2919145;http://facebook.com/313320535674389
www.afisha.ru/personalpage/2856066;http://facebook.com/10204870834690001
www.afisha.ru/personalpage/2935379;http://facebook.com/1575120769456836
www.afisha.ru/personalpage/1908254;http://facebook.com/100000626533450
www.afisha.ru/personalpage/2657761;http://facebook.com/10156347049380565
www.afisha.ru/personalpage/2869808;http://facebook.com/10209806471469606
www.afisha.ru/personalpage/1597306;http://facebook.com/10153216903227688
www.afisha.ru/personalpage/2985559;http://facebook.com/699599706856228
www.afisha.ru/personalpage/1296558;http://facebook.com/100002095462107
www.afisha.ru/personalpage/2750638;http://facebook.com/501978849984766
www.afisha.ru/personalpage/2005127;http://facebook.com/865106366876186
www.afisha.ru/personalpage/1253892;http://facebook.com/100004587757801
www.afisha.ru/personalpage/272150;http://facebook.com/1408641768
www.afisha.ru/personalpage/188732;http://facebook.com/1228085601
www.afisha.ru/personalpage/2937247;http://facebook.com/1094017330677851
www.afisha.ru/personalpage/2828989;http://facebook.com/1076284309084243
www.afisha.ru/personalpage/1067894;http://facebook.com/1194855579
www.afisha.ru/personalpage/1640052;http://facebook.com/710055995788590
www.afisha.ru/personalpage/1464014;http://facebook.com/1150730309
www.afisha.ru/personalpage/2624699;http://facebook.com/1637798676469616
www.afisha.ru/personalpage/1523312;http://facebook.com/100000895136766
www.afisha.ru/personalpage/2629851;http://facebook.com/1199202403428961
www.afisha.ru/personalpage/2300134;http://facebook.com/763958990340774
www.afisha.ru/personalpage/1172527;http://facebook.com/1239427303
www.afisha.ru/personalpage/1208209;http://facebook.com/1444213385
www.afisha.ru/personalpage/2270948;http://facebook.com/1354659469
www.afisha.ru/personalpage/2867868;http://facebook.com/1119798501416248
www.afisha.ru/personalpage/2450688;http://facebook.com/10203830182210814
www.afisha.ru/personalpage/3004762;http://facebook.com/1525975040762872
www.afisha.ru/personalpage/1471513;http://facebook.com/1417866524
www.afisha.ru/personalpage/2903289;http://facebook.com/10204765447774840
www.afisha.ru/personalpage/1753572;http://facebook.com/403578959849436
www.afisha.ru/personalpage/2468104;http://facebook.com/1599255606980930
www.afisha.ru/personalpage/2583919;http://facebook.com/1516970745260969
www.afisha.ru/personalpage/1586860;http://facebook.com/10205640173380245
www.afisha.ru/personalpage/2763867;http://facebook.com/1586904011634410
www.afisha.ru/personalpage/1225630;http://facebook.com/100002943482391
www.afisha.ru/personalpage/171190;http://facebook.com/1070315988
www.afisha.ru/personalpage/1776423;http://facebook.com/1001330719901071
www.afisha.ru/personalpage/2564276;http://facebook.com/10206424363901778
www.afisha.ru/personalpage/1806227;http://facebook.com/100003070823758
www.afisha.ru/personalpage/2694387;http://facebook.com/1006887662707548
www.afisha.ru/personalpage/2913155;http://facebook.com/1218241951532833
www.afisha.ru/personalpage/820345;http://facebook.com/1576352559
www.afisha.ru/personalpage/1779865;http://facebook.com/100002241777960
www.afisha.ru/personalpage/2680948;http://facebook.com/204104793267174
